route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_ft,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_ft,map_distance_miles,real_distance_miles,elevation_change_ft,tan_theta,mpg,gallons_needed,travel_hours,travel_days,best_travel_date,avg_risk_factor
0,0,Portland,ME,43.6591,-70.2568,61,1,Manchester,NH,42.9956,-71.4548,266,75.68,75.72,205,0.000513,44.77,1.69,1.01,1,2025-11-03,1.0
1,1,Manchester,NH,42.9956,-71.4548,266,0,Portland,ME,43.6591,-70.2568,61,75.68,75.64,-205,-0.000513,45.23,1.67,1.01,1,2025-11-03,1.0
2,1,Manchester,NH,42.9956,-71.4548,266,2,Burlington,VT,44.4759,-73.2121,200,134.74,134.73,-66,-9.3e-05,45.04,2.99,1.8,1,2025-11-01,1.0
3,2,Burlington,VT,44.4759,-73.2121,200,1,Manchester,NH,42.9956,-71.4548,266,134.74,134.76,66,9.3e-05,44.96,3.0,1.8,1,2025-11-01,1.0
4,1,Manchester,NH,42.9956,-71.4548,266,3,Boston,MA,42.3601,-71.0589,46,48.3,48.25,-220,-0.000863,45.39,1.06,0.64,1,2025-11-02,1.0
5,3,Boston,MA,42.3601,-71.0589,46,1,Manchester,NH,42.9956,-71.4548,266,48.3,48.34,220,0.000863,44.61,1.08,0.64,1,2025-11-02,1.0
6,2,Burlington,VT,44.4759,-73.2121,200,3,Boston,MA,42.3601,-71.0589,46,181.78,181.75,-154,-0.00016,45.07,4.03,2.42,1,2025-11-02,1.0
7,3,Boston,MA,42.3601,-71.0589,46,2,Burlington,VT,44.4759,-73.2121,200,181.78,181.81,154,0.00016,44.93,4.05,2.42,1,2025-11-02,1.0
8,2,Burlington,VT,44.4759,-73.2121,200,6,New York City,NY,40.7128,-74.006,33,263.12,263.09,-167,-0.00012,45.05,5.84,3.51,1,2025-11-01,1.0
9,6,New York City,NY,40.7128,-74.006,33,2,Burlington,VT,44.4759,-73.2121,200,263.12,263.15,167,0.00012,44.95,5.85,3.51,1,2025-11-01,1.0
10,2,Burlington,VT,44.4759,-73.2121,200,7,Albany,NY,42.6526,-73.7562,276,128.89,128.9,76,0.000112,44.95,2.87,1.72,1,2025-11-01,1.0
11,7,Albany,NY,42.6526,-73.7562,276,2,Burlington,VT,44.4759,-73.2121,200,128.89,128.88,-76,-0.000112,45.05,2.86,1.72,1,2025-11-01,1.0
12,2,Burlington,VT,44.4759,-73.2121,200,8,Buffalo,NY,42.8864,-78.8784,600,303.61,303.68,400,0.00025,44.89,6.77,4.05,1,2025-11-03,1.0
13,8,Buffalo,NY,42.8864,-78.8784,600,2,Burlington,VT,44.4759,-73.2121,200,303.61,303.53,-400,-0.00025,45.11,6.73,4.05,1,2025-11-03,1.0
14,3,Boston,MA,42.3601,-71.0589,46,4,Providence,RI,41.824,-71.4128,56,41.25,41.25,10,4.6e-05,44.98,0.92,0.55,1,2025-11-01,1.0
15,4,Providence,RI,41.824,-71.4128,56,3,Boston,MA,42.3601,-71.0589,46,41.25,41.25,-10,-4.6e-05,45.02,0.92,0.55,1,2025-11-01,1.0
16,3,Boston,MA,42.3601,-71.0589,46,5,Hartford,CT,41.7658,-72.6734,59,92.44,92.44,13,2.7e-05,44.99,2.05,1.23,1,2025-11-01,1.0
17,5,Hartford,CT,41.7658,-72.6734,59,3,Boston,MA,42.3601,-71.0589,46,92.44,92.43,-13,-2.7e-05,45.01,2.05,1.23,1,2025-11-01,1.0
18,3,Boston,MA,42.3601,-71.0589,46,6,New York City,NY,40.7128,-74.006,33,190.21,190.21,-13,-1.3e-05,45.01,4.23,2.54,1,2025-11-01,1.0
19,6,New York City,NY,40.7128,-74.006,33,3,Boston,MA,42.3601,-71.0589,46,190.21,190.21,13,1.3e-05,44.99,4.23,2.54,1,2025-11-01,1.0
20,3,Boston,MA,42.3601,-71.0589,46,7,Albany,NY,42.6526,-73.7562,276,138.86,138.91,230,0.000314,44.86,3.1,1.85,1,2025-11-01,1.0
21,7,Albany,NY,42.6526,-73.7562,276,3,Boston,MA,42.3601,-71.0589,46,138.86,138.82,-230,-0.000314,45.14,3.08,1.85,1,2025-11-01,1.0
22,3,Boston,MA,42.3601,-71.0589,46,8,Buffalo,NY,42.8864,-78.8784,600,399.06,399.17,554,0.000263,44.88,8.89,5.32,1,2025-11-03,1.0
23,8,Buffalo,NY,42.8864,-78.8784,600,3,Boston,MA,42.3601,-71.0589,46,399.06,398.96,-554,-0.000263,45.12,8.84,5.32,1,2025-11-03,1.0
24,4,Providence,RI,41.824,-71.4128,56,5,Hartford,CT,41.7658,-72.6734,59,65.06,65.06,3,9e-06,45.0,1.45,0.87,1,2025-11-04,1.0
25,5,Hartford,CT,41.7658,-72.6734,59,4,Providence,RI,41.824,-71.4128,56,65.06,65.06,-3,-9e-06,45.0,1.45,0.87,1,2025-11-04,1.0
