route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_miles,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_miles,map_distance_miles,real_distance_miles,elevation_change_miles,tan_theta,mpg,gallons_needed,travel_hours,travel_days
0,0,Portland,ME,43.6591,-70.2568,0.01155,1,Manchester,NH,42.9956,-71.4548,0.05038,75.68,75.72,0.03883,0.000513,44.77,1.69,1.01,1
1,1,Manchester,NH,42.9956,-71.4548,0.05038,0,Portland,ME,43.6591,-70.2568,0.01155,75.68,75.64,-0.03883,-0.000513,45.23,1.67,1.01,1
2,1,Manchester,NH,42.9956,-71.4548,0.05038,2,Burlington,VT,44.4759,-73.2121,0.03788,134.74,134.73,-0.0125,-9.30E-05,45.04,2.99,1.8,1
3,2,Burlington,VT,44.4759,-73.2121,0.03788,1,Manchester,NH,42.9956,-71.4548,0.05038,134.74,134.76,0.0125,9.30E-05,44.96,3,1.8,1
4,1,Manchester,NH,42.9956,-71.4548,0.05038,3,Boston,MA,42.3601,-71.0589,0.00871,48.3,48.25,-0.04167,-0.000863,45.39,1.06,0.64,1
5,3,Boston,MA,42.3601,-71.0589,0.00871,1,Manchester,NH,42.9956,-71.4548,0.05038,48.3,48.34,0.04167,0.000863,44.61,1.08,0.64,1
6,2,Burlington,VT,44.4759,-73.2121,0.03788,3,Boston,MA,42.3601,-71.0589,0.00871,181.78,181.75,-0.02917,-0.00016,45.07,4.03,2.42,1
7,3,Boston,MA,42.3601,-71.0589,0.00871,2,Burlington,VT,44.4759,-73.2121,0.03788,181.78,181.81,0.02917,0.00016,44.93,4.05,2.42,1
8,2,Burlington,VT,44.4759,-73.2121,0.03788,6,New York City,NY,40.7128,-74.006,0.00625,263.12,263.09,-0.03163,-0.00012,45.05,5.84,3.51,1
9,6,New York City,NY,40.7128,-74.006,0.00625,2,Burlington,VT,44.4759,-73.2121,0.03788,263.12,263.15,0.03163,0.00012,44.95,5.85,3.51,1
10,2,Burlington,VT,44.4759,-73.2121,0.03788,7,Albany,NY,42.6526,-73.7562,0.05227,128.89,128.9,0.01439,0.000112,44.95,2.87,1.72,1
11,7,Albany,NY,42.6526,-73.7562,0.05227,2,Burlington,VT,44.4759,-73.2121,0.03788,128.89,128.88,-0.01439,-0.000112,45.05,2.86,1.72,1
12,2,Burlington,VT,44.4759,-73.2121,0.03788,8,Buffalo,NY,42.8864,-78.8784,0.11364,303.61,303.68,0.07576,0.00025,44.89,6.77,4.05,1
13,8,Buffalo,NY,42.8864,-78.8784,0.11364,2,Burlington,VT,44.4759,-73.2121,0.03788,303.61,303.53,-0.07576,-0.00025,45.11,6.73,4.05,1
14,3,Boston,MA,42.3601,-71.0589,0.00871,4,Providence,RI,41.824,-71.4128,0.01061,41.25,41.25,0.0019,4.60E-05,44.98,0.92,0.55,1
15,4,Providence,RI,41.824,-71.4128,0.01061,3,Boston,MA,42.3601,-71.0589,0.00871,41.25,41.24,-0.0019,-4.60E-05,45.02,0.92,0.55,1
16,3,Boston,MA,42.3601,-71.0589,0.00871,5,Hartford,CT,41.7658,-72.6734,0.01117,92.44,92.44,0.00246,2.70E-05,44.99,2.05,1.23,1
17,5,Hartford,CT,41.7658,-72.6734,0.01117,3,Boston,MA,42.3601,-71.0589,0.00871,92.44,92.43,-0.00246,-2.70E-05,45.01,2.05,1.23,1
18,3,Boston,MA,42.3601,-71.0589,0.00871,6,New York City,NY,40.7128,-74.006,0.00625,190.21,190.21,-0.00246,-1.30E-05,45.01,4.23,2.54,1
19,6,New York City,NY,40.7128,-74.006,0.00625,3,Boston,MA,42.3601,-71.0589,0.00871,190.21,190.21,0.00246,1.30E-05,44.99,4.23,2.54,1
