city_id,city,state,station,date,condition,risk_factor,temp_f,dewpoint_f,humidity_pct,pressure_in
0,Portland,ME,KPWM,2025-11-01,Fair,1,46,33,61,29.16
0,Portland,ME,KPWM,2025-11-02,Fair,1,37,28,70,29.97
0,Portland,ME,KPWM,2025-11-03,Fair,1,28,26,92,30.18
0,Portland,ME,KPWM,2025-11-04,Fair,1,44,41,89,29.49
0,Portland,ME,KPWM,2025-11-05,Fair,1,41,28,60,29.93
0,Portland,ME,KPWM,2025-11-06,Cloudy,1,42,41,96,29.33
0,Portland,ME,KPWM,2025-11-07,Fair,1,33,22,64,29.95
0,Portland,ME,KPWM,2025-11-08,Cloudy,1,52,47,83,29.51
0,Portland,ME,KPWM,2025-11-09,Mostly Cloudy,1,37,29,73,29.91
0,Portland,ME,KPWM,2025-11-10,Cloudy,1,51,51,100,29.71
0,Portland,ME,KPWM,2025-11-11,Fair,1,38,36,93,29.32
0,Portland,ME,KPWM,2025-11-12,Fair,1,33,23,66,29.6
0,Portland,ME,KPWM,2025-11-13,Cloudy,1,35,31,85,29.57
0,Portland,ME,KPWM,2025-11-14,Cloudy,1,33,32,96,29.78
0,Portland,ME,KPWM,2025-11-15,Fair,1,31,24,76,29.76
0,Portland,ME,KPWM,2025-11-16,Fair,1,41,41,100,28.97
0,Portland,ME,KPWM,2025-11-17,Partly Cloudy,1,31,22,69,29.18
0,Portland,ME,KPWM,2025-11-18,Fair,1,33,24,70,29.72
0,Portland,ME,KPWM,2025-11-19,Fair,1,23,21,92,30.03
0,Portland,ME,KPWM,2025-11-20,Fair,1,23,21,92,30.17
0,Portland,ME,KPWM,2025-11-21,Fair,1,24,23,96,30.05
0,Portland,ME,KPWM,2025-11-22,Fair,1,37,35,93,29.77
0,Portland,ME,KPWM,2025-11-23,Fair,1,23,19,85,29.89
0,Portland,ME,KPWM,2025-11-24,Mostly Cloudy,1,28,27,96,29.84
0,Portland,ME,KPWM,2025-11-25,Cloudy,1,33,28,82,30.16
0,Portland,ME,KPWM,2025-11-26,Light Rain,5,48,48,100,29.85
0,Portland,ME,KPWM,2025-11-27,Mist,1,47,47,100,29.49
0,Portland,ME,KPWM,2025-11-28,Fair,1,34,23,64,29.63
0,Portland,ME,KPWM,2025-11-29,Partly Cloudy,1,30,14,51,29.89
0,Portland,ME,KPWM,2025-11-30,Fair,1,21,18,88,30.43
1,Manchester,NH,KMHT,2025-11-01,Mostly Cloudy / Windy,1,46,31,56,29.12
1,Manchester,NH,KMHT,2025-11-02,Fair,1,38,26,62,29.84
1,Manchester,NH,KMHT,2025-11-03,Fair,1,31,28,89,30.0
1,Manchester,NH,KMHT,2025-11-04,Fair,1,44,36,73,29.4
1,Manchester,NH,KMHT,2025-11-05,Fair,1,32,27,82,29.79
1,Manchester,NH,KMHT,2025-11-06,Cloudy / Windy,1,45,37,74,29.23
1,Manchester,NH,KMHT,2025-11-07,Fair,1,29,22,75,29.82
1,Manchester,NH,KMHT,2025-11-08,Cloudy,1,54,46,75,29.34
1,Manchester,NH,KMHT,2025-11-09,Cloudy,1,42,32,67,29.7
1,Manchester,NH,KMHT,2025-11-10,Light Drizzle,5,47,46,97,29.46
1,Manchester,NH,KMHT,2025-11-11,Cloudy,1,36,29,76,29.25
1,Manchester,NH,KMHT,2025-11-12,Mostly Cloudy,1,33,20,59,29.48
1,Manchester,NH,KMHT,2025-11-13,Mostly Cloudy,1,41,32,70,29.41
1,Manchester,NH,KMHT,2025-11-14,Fair,1,35,26,70,29.64
1,Manchester,NH,KMHT,2025-11-15,Partly Cloudy,1,32,26,79,29.6
