route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_miles,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_miles,road_distance_miles,real_distance_miles,elevation_change_miles,tan_theta,mpg,gallons_needed,travel_hours,travel_days
0,0,Portland,ME,43.6591,-70.2568,0.01155,1,Manchester,NH,42.9956,-71.4548,0.05038,94.14,94.18,0.03883,0.000412,44.81,2.1,1.88,1
1,1,Manchester,NH,42.9956,-71.4548,0.05038,0,Portland,ME,43.6591,-70.2568,0.01155,94.14,94.11,-0.03883,-0.000412,45.19,2.08,1.88,1
2,1,Manchester,NH,42.9956,-71.4548,0.05038,2,Burlington,VT,44.4759,-73.2121,0.03788,166.08,166.07,-0.0125,-7.5e-05,45.03,3.69,3.31,1
3,2,Burlington,VT,44.4759,-73.2121,0.03788,1,Manchester,NH,42.9956,-71.4548,0.05038,166.08,166.1,0.0125,7.5e-05,44.97,3.69,3.31,1
4,1,Manchester,NH,42.9956,-71.4548,0.05038,3,Boston,MA,42.3601,-71.0589,0.00871,52.68,52.64,-0.04167,-0.000791,45.36,1.16,1.11,1
5,3,Boston,MA,42.3601,-71.0589,0.00871,1,Manchester,NH,42.9956,-71.4548,0.05038,52.68,52.72,0.04167,0.000791,44.64,1.18,1.11,1
6,2,Burlington,VT,44.4759,-73.2121,0.03788,3,Boston,MA,42.3601,-71.0589,0.00871,215.67,215.64,-0.02917,-0.000135,45.06,4.79,4.27,1
7,3,Boston,MA,42.3601,-71.0589,0.00871,2,Burlington,VT,44.4759,-73.2121,0.03788,215.67,215.7,0.02917,0.000135,44.94,4.8,4.27,1
8,2,Burlington,VT,44.4759,-73.2121,0.03788,6,New York City,NY,40.7128,-74.006,0.00625,298.41,298.38,-0.03163,-0.000106,45.05,6.62,6.69,1
9,6,New York City,NY,40.7128,-74.006,0.00625,2,Burlington,VT,44.4759,-73.2121,0.03788,298.41,298.44,0.03163,0.000106,44.95,6.64,6.69,1
10,2,Burlington,VT,44.4759,-73.2121,0.03788,7,Albany,NY,42.6526,-73.7562,0.05227,147.0,147.01,0.01439,9.8e-05,44.96,3.27,3.68,1
11,7,Albany,NY,42.6526,-73.7562,0.05227,2,Burlington,VT,44.4759,-73.2121,0.03788,147.0,146.98,-0.01439,-9.8e-05,45.04,3.26,3.68,1
12,2,Burlington,VT,44.4759,-73.2121,0.03788,8,Buffalo,NY,42.8864,-78.8784,0.11364,372.35,372.42,0.07576,0.000203,44.91,8.29,8.37,2
13,8,Buffalo,NY,42.8864,-78.8784,0.11364,2,Burlington,VT,44.4759,-73.2121,0.03788,372.35,372.27,-0.07576,-0.000203,45.09,8.26,8.37,2
14,3,Boston,MA,42.3601,-71.0589,0.00871,4,Providence,RI,41.824,-71.4128,0.01061,50.36,50.36,0.0019,3.8e-05,44.98,1.12,1.15,1
